,subject,block,correct,incorrect,totalTrials,score
208,subj100,block6,23,57,80,0.2875
209,subj130,block3,32,48,80,0.4
210,subj152,block6,24,56,80,0.3
211,subj106,block1,30,50,80,0.375
212,subj148,block1,27,53,80,0.3375
213,subj142,block5,16,64,80,0.2
214,subj118,block3,50,30,80,0.625
215,subj102,block4,21,59,80,0.2625
216,subj134,block6,39,41,80,0.4875
217,subj160,block1,22,58,80,0.275
218,subj116,block5,26,54,80,0.325
219,subj134,block1,40,40,80,0.5
220,subj160,block6,32,48,80,0.4
221,subj118,block4,37,43,80,0.4625
222,subj102,block3,36,44,80,0.45
223,subj152,block1,21,59,80,0.2625
224,subj106,block6,24,56,80,0.3
225,subj148,block6,32,48,80,0.4
226,subj130,block4,34,46,80,0.425
227,subj122,block5,32,48,80,0.4
228,subj154,block6,26,54,80,0.325
229,subj100,block1,22,57,79,0.27848101265822783
230,subj136,block3,46,34,80,0.575
231,subj162,block4,33,47,80,0.4125
232,subj128,block1,31,49,80,0.3875
233,subj132,block6,29,51,80,0.3625
234,subj150,block3,22,58,80,0.275
235,subj104,block4,37,43,80,0.4625
236,subj144,block5,23,57,80,0.2875
237,subj131,block1,23,57,80,0.2875
238,subj153,block4,20,60,80,0.25
239,subj107,block3,36,44,80,0.45
240,subj149,block3,34,46,80,0.425
241,subj113,block5,26,54,80,0.325
242,subj119,block1,27,53,80,0.3375
243,subj157,block1,30,50,80,0.375
244,subj103,block6,34,46,80,0.425
245,subj135,block4,31,49,80,0.3875
246,subj161,block3,42,38,80,0.525
247,subj151,block6,36,44,80,0.45
248,subj105,block1,18,62,80,0.225
249,subj129,block4,22,58,80,0.275
250,subj133,block3,48,32,80,0.6
251,subj127,block5,39,41,80,0.4875
252,subj141,block5,16,64,80,0.2
253,subj137,block6,16,64,80,0.2
254,subj155,block3,34,46,80,0.425
255,subj101,block4,30,50,80,0.375
256,subj159,block5,17,63,80,0.2125
257,subj117,block5,28,52,80,0.35
258,subj161,block6,42,38,80,0.525
259,subj135,block1,13,67,80,0.1625
260,subj103,block3,37,43,80,0.4625
261,subj157,block4,33,47,80,0.4125
262,subj119,block4,38,42,80,0.475
263,subj149,block6,31,49,80,0.3875
264,subj107,block6,34,46,80,0.425
265,subj153,block1,11,69,80,0.1375
266,subj131,block4,22,58,80,0.275
267,subj123,block5,32,48,80,0.4
268,subj101,block1,25,55,80,0.3125
269,subj155,block6,31,49,80,0.3875
270,subj137,block3,24,56,80,0.3
271,subj133,block6,31,49,80,0.3875
272,subj129,block1,23,57,80,0.2875
273,subj105,block4,33,47,80,0.4125
274,subj151,block3,32,48,80,0.4
275,subj145,block5,32,48,80,0.4
276,subj130,block1,27,53,80,0.3375
277,subj148,block3,37,43,80,0.4625
278,subj106,block3,34,46,80,0.425
279,subj152,block4,22,58,80,0.275
280,subj112,block5,33,47,80,0.4125
281,subj102,block6,31,49,80,0.3875
282,subj118,block1,33,47,80,0.4125
283,subj160,block3,39,41,80,0.4875
284,subj134,block4,30,50,80,0.375
285,subj104,block1,22,58,80,0.275
286,subj150,block6,22,58,80,0.275
287,subj132,block3,40,40,80,0.5
288,subj128,block4,37,43,80,0.4625
289,subj126,block5,41,39,80,0.5125
290,subj140,block5,40,40,80,0.5
291,subj162,block1,30,50,80,0.375
292,subj136,block6,41,39,80,0.5125
293,subj100,block4,32,48,80,0.4
294,subj154,block3,31,49,80,0.3875
